	Species	Organ	Time	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70
sample15	F.nota	Leaf	Morning	74.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.471	0.000	0.000	0.000	0.959	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.940	0.210	0.073	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample16	F.nota	Leaf	Noon	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.473	0.000	0.000	0.000	0.000	0.000	0.000	3.354	0.000	28.375	0.000	0.000	0.000	0.000	1.164	0.000	0.000	0.000	4.196	0.000	0.000	0.000	57.127	0.000	1.000	1.000	0.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.528	0.000	0.000	0.000	0.000	0.000	1.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample17	F.nota	Leaf	Noon	16.869	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.963	0.000	0.000	0.000	21.702	0.000	0.000	0.000	3.499	3.499	0.000	0.000	0.000	0.000	0.000	0.164	0.000	17.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample18	F.nota	Leaf	Noon	0.342	0.000	0.308	0.000	2.773	0.000	0.000	1.762	0.000	0.000	0.000	0.000	0.000	0.000	5.026	0.000	73.988	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.795	0.000	1.197	0.000	5.479	0.378	2.310	2.310	0.618	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.698	0.000	0.000	0.000	0.000	0.000	0.756	0.000	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample19	F.nota	Leaf	Noon	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.724	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample20	F.nota	Leaf	Noon	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	84.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample21	F.septica	Fig	Morning	29.709	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.446	0.000	0.000	0.000	0.000	0.000	0.000	6.798	0.000	0.000	0.000	0.000	0.114	0.013	0.000	0.000	0.000	0.000	0.000	0.302	27.288	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.423	2.723	0.000	0.000	6.967	0.000	0.000	0.000	0.000	0.000	15.361	0.000	0.000	0.000	0.000	0.000	1.856	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample22	F.septica	Fig	Morning	44.161	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.614	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.966	0.267	0.000	0.000	9.855	0.000	1.223	0.000	0.000	0.000	16.564	0.000	0.000	0.969	0.000	0.000	2.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.869	0.000	1.372	0.171	0.171
sample23	F.septica	Fig	Morning	49.655	0.000	1.379	0.000	0.000	0.000	0.210	0.210	0.420	0.000	0.000	0.000	32.663	0.000	0.000	0.000	2.929	0.000	0.000	0.000	0.000	3.776	0.000	0.000	0.000	0.000	0.000	2.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.887	0.000	0.000	0.000	0.801	0.000	3.195	0.000	0.000	0.459	0.000	0.000	0.559	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample24	F.septica	Fig	Morning	48.498	0.000	5.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.082	0.000	0.000	16.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.554	1.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.815	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sample25	F.septica	Fig	Morning	39.633	0.000	4.872	0.000	8.903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.453	0.000	0.000	0.000	0.000	0.000	1.559	0.000	0.000	0.000	0.000	0.000	0.000	5.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
