"","Spe","lma.leaflet","thick.vile","ldmc","A","Vcmax","gs","gm","wue","Rdark","PC2","PC1"
"38","pim",31.37153228,154.7079281,0.202779086,18.62573,17.62423,0.4788341,0.1095578,38.8980859967993,1.65,3.87083598729145,1.82991490529884
"39","pim",35.12143266,208.212107,0.16868103,23.40744,16.26135,0.3943476,0.2350311,59.357379124407,1.31,1.93883899147399,2.22237381690187
"40","pim",36.03974669,180.9753,0.199141798,25.62729,17.24527,0.531368,0.270645,48.2288922178227,1.07,3.17092970903849,3.04960218094067
"41","cer",78.48469759,314.0935925,0.249876787,17.97157,16.4993,0.3808913,0.1003481,47.1829364440721,2.11,2.94701232211486,-0.767299457227605
"42","cer",70.21150131,290.9362809,0.24132948,16.84263,17.08743,0.253726,0.1068825,66.3811749682729,1.61,1.73452842271399,-0.729537595271044
"43","cer",70.50955223,329.4574603,0.214017167,16.83893,17.51016,0.3232295,0.09953073,52.0958947125804,1.58,2.20565175938283,-0.828468503137804
"44","cer",61.55055003,274.7242344,0.22404485,25.2484,26.8957,0.2670482,0.2666644,94.5462279843114,1,0.0326902116976864,1.80583335174005
"46","neo",40.86960888,231.018822,0.176910299,18.80626,29.32727,0.2159886,0.1431851,87.0706139120306,1.91,-0.512203224663908,1.14712079206869
"47","neo",38.06856491,247.3693057,0.153893648,28.80433,39.78906,0.3362973,0.2538545,85.6513864369414,2.64,-1.37575739359892,3.14641925080438
"48","neo",41.88435831,279.8545285,0.149664751,22.09754,28.81202,0.242305,0.1990806,91.1972101277316,1.89,-1.07529939715185,1.46406437519809
"49","neo",52.96386231,283.0851133,0.187095187,22.01361,33.89209,0.1961791,0.2642263,112.211800339588,2.18,-1.85153282687951,1.51697228906372
"51","chm",38.74833555,297.764309,0.130130893,19.67438,30.06461,0.1925694,0.1819346,102.167737968753,1.87,-2.00505215084598,1.03256386288636
"52","chm",53.6602828,277.4331297,0.193416997,21.47014,31.45812,0.279172,0.1558777,76.9064949206941,1.76,-0.0592889167358015,1.21391017922177
"54","chm",46.72287697,308.9580818,0.151227237,25.92356,31.10172,0.3111119,0.2257982,83.325517281724,1.69,-0.806077284684922,1.94482299671768
"55","chm",66.93306693,302.709505,0.221113199,12.9006,19.31052,0.1905742,0.07226696,67.6933184030157,1.28,1.17688995850435,-1.64869943274892
"56","arc",44.29218615,295.3474476,0.149966375,17.62203,27.7174,0.1850376,0.1450858,95.2348603743239,2.44,-1.47133526269001,0.221192871583604
"57","arc",49.09318324,291.5616193,0.16838013,27.14839,39.27751,0.2509015,0.3470221,108.203378616708,2.53,-2.26303992073542,2.57239291558814
"58","arc",45.24317843,350.4023783,0.129117784,21.58804,32.65825,0.2181584,0.2184372,98.9558045896926,1.71,-2.16132455295726,1.19618156431457
"59","arc",48.02069276,300.9607937,0.159557968,32.97418,38.40109,0.423611,0.3444405,77.8407076303495,3.19,-1.11250892898404,3.08638389351295
"60","arc",51.24109935,270.6023936,0.189359372,16.32322,19.73434,0.2364776,0.106569,69.0264955327693,2.08,0.846651374429493,-0.370610683652364
