sample,site,latitude,longitude,species.name,species.code,author.citation,section,shade,vegetation.type,microtopographical.position,HC_mg_g,sphagn_litter_mg_g,sphagn_HC_mg_g,phenolics_TA_mg_g,phenolics_PHBA_mg_g,KL_mg_g,CEC_meq_g,N_mg_g,C_mg_g,CNratio,PO4_mg_g,abs_ratio_205_280,solubleKL_mg_g,totalKL_mg_g,solubleKL_perc_of_totalKL,dev_100perc,HWT2012,losslab2b,lossfield
CA5,Kulflyten,59.90254,15.83353,Sphagnum_capillifolium,CA,(Ehrh.) Hedw.,Acutifolia,2semi,Pine bog,Hummock,691.167,55.07719869,79.68726507,5.8028,7.9788,213.8430,0.8790,4.7904,438.7226,91.5833,0.2540,2.22,49.33165861,263.1746338,18.74483794,-4.565848222,310,16.904692,12.62325283
CA7,Kulflyten,59.90254,15.83353,Sphagnum_capillifolium,CA,(Ehrh.) Hedw.,Acutifolia,2semi,Pine bog,Hummock,726.689,37.59661864,51.73688101,5.9642,8.2007,369.5431,0.7981,4.8880,446.2322,91.2917,0.2283,2.24,37.51239505,407.0555423,9.215547058,13.37444711,320,26.18630012,51.02542056
CA8,Kulflyten,59.90254,15.83353,Sphagnum_capillifolium,CA,(Ehrh.) Hedw.,Acutifolia,2semi,Pine bog,Hummock,691.989,46.37145748,67.01187938,4.4213,6.0792,265.8228,0.8828,5.9273,444.7419,75.0323,0.3872,2.25,44.37136556,310.1941504,14.30438501,0.218276363,360,24.66454875,36.29035902
CT1,Glon,60.51752,17.92301,Sphagnum_contortum,CO,Schultz,Subsecunda,1open,Rich fen,Lawn,713.484,52.3892141,73.42726731,5.8291,8.0151,230.1255,0.6230,6.2622,435.0294,69.4688,0.2859,2.12,50.31154066,280.4370637,17.94040345,-0.607847734,40,27.85230586,13.76995701
CT3,Glon,60.51752,17.92301,Sphagnum_contortum,CO,Schultz,Subsecunda,1open,Rich fen,Lawn,696.631,43.1448292,61.93353474,6.3592,8.7439,236.2694,0.6713,5.4878,441.8699,80.5185,0.2771,2.13,45.91209556,282.1815256,16.27041156,-2.118732967,40,25.41460031,8.11914525
CT4,Glon,60.51752,17.92301,Sphagnum_contortum,CO,Schultz,Subsecunda,1open,Rich fen,Lawn,704.183,45.07115301,64.00487656,5.9623,8.1982,200.6141,0.6880,8.1349,445.0397,54.7073,0.3018,2.31,48.58313486,249.1972597,19.49585437,-4.661963056,130,28.4437666,14.66925376
CT5,Glon,60.51752,17.92301,Sphagnum_contortum,CO,Schultz,Subsecunda,1open,Rich fen,Lawn,704.153,52.02406914,73.88178914,5.7358,7.8867,256.9373,0.6988,7.8788,442.4242,56.1538,0.2499,2.29,47.54261778,304.4799251,15.61436859,0.863273117,80,26.63931229,11.03103727
CT6,Glon,60.51752,17.92301,Sphagnum_contortum,CO,Schultz,Subsecunda,1open,Rich fen,Lawn,735.002,47.83387388,65.07995537,7.4939,10.3042,330.2277,0.5411,7.5051,444.4219,59.2162,0.2926,2.29,44.19892822,374.4266715,11.80442837,10.94283107,105,27.72017424,15.7225245
CU1,Kulflyten,59.90254,15.83353,Sphagnum_cuspidatum,CU,Hoffm.,Cuspidata,1open,Open bog,Carpet - pool,711.202,22.58466391,31.75563284,4.6477,6.3906,242.6778,0.5123,8.6275,444.3137,51.5000,0.2476,2.39,49.04924394,291.7,16.81340173,0.3,0,66.26138983,11.8215075
CU10,Kulflyten,59.90254,15.83353,Sphagnum_cuspidatum,CU,Hoffm.,Cuspidata,1open,Open bog,Carpet - pool,649.380,23.64966473,36.41881639,4.0033,5.5046,199.3834,0.5125,6.2992,439.3701,76.5333,0.1815,2.00,43.76283202,242.762832,18.02699023,-10.78567907,20,66.93702381,10.87627992
CU2,Kulflyten,59.90254,15.83353,Sphagnum_cuspidatum,CU,Hoffm.,Cuspidata,1open,Open bog,Carpet - pool,623.312,27.48560177,44.09603136,5.0877,6.9955,129.3743,0.4997,10.8871,438.9113,69.7500,0.2629,2.32,55.08797251,184.4623097,29.86408041,-19.22253213,0,58.63830096,6.270040935
CU3,Kulflyten,59.90254,15.83353,Sphagnum_cuspidatum,CU,Hoffm.,Cuspidata,1open,Open bog,Carpet - pool,699.859,24.92079841,35.60830861,5.6064,7.7088,175.2361,0.5411,5.5785,446.0744,40.3148,0.1943,2.08,51.55529367,226.7913902,22.73247394,-7.334952102,0,61.20310899,-0.21517537
CU8,Kulflyten,59.90254,15.83353,Sphagnum_cuspidatum,CU,Hoffm.,Cuspidata,1open,Open bog,Carpet - pool,656.406,27.71895923,42.22835797,4.7649,6.5517,282.1833,0.4896,5.8252,445.8252,79.9630,0.1889,1.97,45.51003409,327.6933503,13.88799439,-1.59003728,0,62.26517336,0.805123513
