year,Au_sum_cdd,Au_sum_hdd,Au_sum_precip,Au_mean_pdsi,Au_mean_avg_temp,Au_mean_max_temp,Au_mean_min_temp,Sp_sum_cdd,Sp_sum_hdd,Sp_sum_precip,Sp_mean_pdsi,Sp_mean_avg_temp,Sp_mean_max_temp,Sp_mean_min_temp,Su_sum_cdd,Su_sum_hdd,Su_sum_precip,Su_mean_pdsi,Su_mean_avg_temp,Su_mean_max_temp,Su_mean_min_temp,Wi_sum_cdd,Wi_sum_hdd,Wi_sum_precip,Wi_mean_pdsi,Wi_mean_avg_temp,Wi_mean_max_temp,Wi_mean_min_temp,Au_sum_cdd_prev,Au_sum_hdd_prev,Au_sum_precip_prev,Au_mean_pdsi_prev,Au_mean_avg_temp_prev,Au_mean_max_temp_prev,Au_mean_min_temp_prev
1999,0,2015,9.84,0.15999999999999998,42.166666666666664,52.13333333333333,32.266666666666666,130,789,6.470000000000001,-1.3933333333333333,57.36666666666667,69.4,45.333333333333336,475,75,14.85,-1.2000000000000002,68.6,79.43333333333334,57.766666666666666,0,2962,14.879999999999999,1.1133333333333333,31,40.699999999999996,21.3,0,2013,8.9,-1.3233333333333333,42.333333333333336,51.733333333333334,32.86666666666667
2000,0,2358,10.3,-0.21333333333333335,38.4,47.56666666666667,29.23333333333333,69,894,16.01,1.06,55.53333333333333,65.8,45.2,229,185,12.57,2.276666666666667,64.73333333333333,74.96666666666667,54.53333333333333,0,2929,11.31,-0.26666666666666666,31.400000000000002,41.36666666666667,21.433333333333334,0,2015,9.84,0.15999999999999998,42.166666666666664,52.13333333333333,32.266666666666666
2001,0,1841,5.36,-2.2333333333333334,44.06666666666666,54.56666666666666,33.53333333333333,125,800,10.7,-0.4666666666666666,57.06666666666666,68.76666666666667,45.333333333333336,365,118,10.19,0.06999999999999999,66.93333333333334,78.13333333333334,55.7,0,3206,13.73,0.16999999999999996,28.3,37.333333333333336,19.266666666666666,0,2358,10.3,-0.21333333333333335,38.4,47.56666666666667,29.23333333333333
2002,0,2340,15.3,0.7266666666666667,38.63333333333333,47.333333333333336,29.866666666666667,45,855,13.79,-1.95,55.7,66.9,44.46666666666666,501,60,9.02,-1.9766666666666668,69.06666666666668,80.33333333333333,57.8,0,2710,9.120000000000001,-3.0166666666666666,33.96666666666667,43.46666666666667,24.433333333333334,0,1841,5.36,-2.2333333333333334,44.06666666666666,54.56666666666666,33.53333333333333
2003,0,2126,14.45,2.6533333333333333,40.93333333333333,50.266666666666666,31.7,45,1058,13.78,1.47,53.7,63.56666666666667,43.86666666666667,475,92,13.76,1.7666666666666666,68.36666666666667,78.2,58.5,0,3461,11.3,1.0166666666666666,25.433333333333334,35.3,15.533333333333333,0,2340,15.3,0.7266666666666667,38.63333333333333,47.333333333333336,29.866666666666667
2004,0,2194,10.45,1.2766666666666666,40.2,49.53333333333333,30.9,57,812,13.33,0.19,56.36666666666667,67.33333333333333,45.4,333,116,16.96,0.9,66.8,76.56666666666666,57,0,3329,5.76,-1.33,27.1,35.96666666666667,18.2,0,2126,14.45,2.6533333333333333,40.93333333333333,50.266666666666666,31.7
2005,0,2137,23.009999999999998,3.42,40.766666666666666,49.733333333333334,31.833333333333336,113,937,11.940000000000001,1.0433333333333332,55.9,66.83333333333333,44.9,519,52,9.33,-1.2266666666666666,69.43333333333334,80.2,58.666666666666664,0,3293,12.73,1.52,27.466666666666665,37.13333333333333,17.766666666666666,0,2194,10.45,1.2766666666666666,40.2,49.53333333333333,30.9
2006,0,1834,13.620000000000001,2.9633333333333334,44.266666666666666,53.43333333333333,35.06666666666666,88,812,20.81,2.283333333333333,56.733333333333334,66.76666666666667,46.63333333333333,423,153,10.59,3.19,67.3,77.53333333333333,57.03333333333333,0,2862,8.68,2.5666666666666664,32.166666666666664,41.53333333333333,22.8,0,2137,23.009999999999998,3.42,40.766666666666666,49.733333333333334,31.833333333333336
2007,6,2140,12.31,-1.0666666666666667,41.03333333333333,50.1,31.933333333333334,81,892,13.959999999999999,0.7433333333333334,55.766666666666666,66.83333333333333,44.6,396,91,8.56,-0.8266666666666667,67.6,78.93333333333334,56.333333333333336,0,3147,10.66,1.64,28.766666666666666,37.96666666666667,19.53333333333333,0,1834,13.620000000000001,2.9633333333333334,44.266666666666666,53.43333333333333,35.06666666666666
2008,0,2201,13.72,3.546666666666667,40.13333333333333,49.6,30.733333333333334,106,854,10.58,1.86,56.5,67.96666666666667,45.03333333333333,392,121,18.81,3.1066666666666665,67.33333333333334,77.4,57.266666666666666,0,3012,16.59,1.7266666666666666,30.46666666666667,39.56666666666667,21.333333333333332,6,2140,12.31,-1.0666666666666667,41.03333333333333,50.1,31.933333333333334
