Site,Replicate plot,CWM_SLA,CMW_Root,CMW_Hmax,CMW_RS,CMW_LeafN,CMW_RootN,CMW_Leafd15N,CMW_Leafd13C,CMW_Rootd15N,lnSilt,lnPrimprod,,,,,,,,,,,,,,,,,,,,,,,,,
M3,2,0.742,-0.613,-0.182,-0.769,0.363,-1.258,-1.048,1.193,-0.847,-0.594,1.695,,,,,,,,,,,,,,,,,,,,,,,,,
M3,3,0.461,-1.291,-0.834,1.490,0.308,-0.295,0.461,-0.435,0.288,-0.594,3.127,,,,,,,,,,,,,,,,,,,,,,,,,
M3,4,0.463,-0.032,-0.444,0.384,0.942,0.807,0.786,-0.833,0.826,-0.594,3.271,,,,,,,,,,,,,,,,,,,,,,,,,
M3,5,-1.737,1.173,1.732,-1.016,-1.697,-0.463,-1.112,0.957,-1.247,-0.594,4.229,,,,,,,,,,,,,,,,,,,,,,,,,
M4,1,1.575,1.304,-0.653,1.099,0.727,0.640,-1.752,1.761,-1.712,-0.370,3.425,,,,,,,,,,,,,,,,,,,,,,,,,
M4,2,-0.944,0.692,-0.575,0.445,1.292,-1.034,0.444,-0.428,0.793,-0.370,4.105,,,,,,,,,,,,,,,,,,,,,,,,,
M4,3,0.077,-1.068,-0.350,0.577,-0.244,-0.863,0.479,-0.430,0.465,-0.370,3.969,,,,,,,,,,,,,,,,,,,,,,,,,
M4,4,-0.785,-0.816,-0.180,-1.138,-0.600,1.331,0.132,-0.202,-0.017,-0.370,4.014,,,,,,,,,,,,,,,,,,,,,,,,,
M4,5,0.076,-0.113,1.757,-0.983,-1.176,-0.074,0.697,-0.701,0.471,-0.370,4.600,,,,,,,,,,,,,,,,,,,,,,,,,
M5,1,-1.338,0.207,-0.250,0.916,-1.622,-1.557,1.741,1.468,1.756,0.328,0.831,,,,,,,,,,,,,,,,,,,,,,,,,
M5,2,1.286,1.588,1.607,-0.626,0.368,0.767,-0.700,-0.163,-0.373,0.328,3.389,,,,,,,,,,,,,,,,,,,,,,,,,
M5,3,-0.031,-0.989,-1.141,0.558,0.729,0.708,-0.376,-0.712,-0.476,0.328,3.306,,,,,,,,,,,,,,,,,,,,,,,,,
M5,4,-0.484,-0.659,-0.227,0.600,-0.269,-0.450,-0.092,0.457,-0.191,0.328,3.044,,,,,,,,,,,,,,,,,,,,,,,,,
M5,5,0.566,-0.147,0.010,-1.448,0.793,0.532,-0.574,-1.050,-0.716,0.328,3.158,,,,,,,,,,,,,,,,,,,,,,,,,
M6,1,-0.835,-0.854,-0.343,-0.752,-1.484,-1.528,1.548,1.579,1.547,-0.578,3.922,,,,,,,,,,,,,,,,,,,,,,,,,
M6,2,0.342,-0.879,0.049,1.465,0.815,0.802,-0.795,-0.784,-0.796,-0.578,2.897,,,,,,,,,,,,,,,,,,,,,,,,,
M6,3,-0.416,0.426,-1.489,-0.640,0.220,0.215,-0.213,-0.208,-0.213,-0.578,3.817,,,,,,,,,,,,,,,,,,,,,,,,,
M6,4,-0.686,1.508,1.081,0.625,-0.477,-0.394,0.354,0.289,0.356,-0.578,2.685,,,,,,,,,,,,,,,,,,,,,,,,,
M6,5,1.595,-0.200,0.702,-0.698,0.926,0.905,-0.894,-0.876,-0.895,-0.578,3.114,,,,,,,,,,,,,,,,,,,,,,,,,
M7,1,nd,0.532,1.006,-0.701,0.178,0.778,-0.910,0.527,0.517,0.386,3.846,,,,,,,,,,,,,,,,,,,,,,,,,
M7,2,nd,1.003,1.011,-0.583,-1.110,-1.665,0.954,-0.074,-1.599,0.386,3.788,,,,,,,,,,,,,,,,,,,,,,,,,
M7,3,nd,0.067,-0.285,-0.611,1.477,0.128,1.160,-1.706,-0.328,0.386,3.871,,,,,,,,,,,,,,,,,,,,,,,,,
M7,4,nd,0.043,-1.304,0.241,0.178,0.778,-0.910,0.527,0.517,0.386,3.339,,,,,,,,,,,,,,,,,,,,,,,,,
M7,5,nd,-1.645,-0.428,1.654,-0.722,-0.020,-0.293,0.727,0.895,0.386,1.854,,,,,,,,,,,,,,,,,,,,,,,,,
M8,1,-1.471,-0.483,-0.642,0.037,-0.532,0.528,-1.776,1.691,-0.810,-0.071,4.135,,,,,,,,,,,,,,,,,,,,,,,,,
M8,2,1.005,-0.085,-0.775,-0.960,1.165,1.323,0.388,-0.688,1.625,-0.071,4.169,,,,,,,,,,,,,,,,,,,,,,,,,
M8,3,-0.312,0.533,0.684,1.163,-0.679,-0.090,0.440,-0.139,0.059,-0.071,3.630,,,,,,,,,,,,,,,,,,,,,,,,,
M8,4,-0.072,1.335,1.427,0.801,0.997,-1.335,0.311,-0.062,-0.836,-0.071,4.130,,,,,,,,,,,,,,,,,,,,,,,,,
M8,5,0.850,-1.301,-0.694,-1.041,-0.951,-0.426,0.636,-0.802,-0.037,-0.071,3.575,,,,,,,,,,,,,,,,,,,,,,,,,
M9,1,-1.318,-1.318,0.319,-0.883,0.699,-1.769,-1.122,0.834,-1.693,0.610,2.105,,,,,,,,,,,,,,,,,,,,,,,,,
M9,2,0.392,-0.667,-1.703,1.592,1.235,0.335,-1.039,1.309,-0.100,0.610,2.389,,,,,,,,,,,,,,,,,,,,,,,,,
M9,3,1.256,1.209,0.535,-0.483,-1.108,0.638,0.880,-0.758,0.763,0.610,3.503,,,,,,,,,,,,,,,,,,,,,,,,,
M9,4,0.324,0.220,0.007,0.350,0.043,0.268,0.825,-0.860,0.445,0.610,2.753,,,,,,,,,,,,,,,,,,,,,,,,,
M9,5,-0.653,0.556,0.843,-0.575,-0.869,0.528,0.456,-0.525,0.585,0.610,3.751,,,,,,,,,,,,,,,,,,,,,,,,,
I1,1,1.140,0.394,-0.424,1.572,1.422,0.598,-1.235,0.541,0.732,1.042,3.985,,,,,,,,,,,,,,,,,,,,,,,,,
I1,2,-0.962,1.134,1.758,0.119,-1.034,1.142,-0.370,1.305,-1.618,1.042,4.751,,,,,,,,,,,,,,,,,,,,,,,,,
I1,3,-0.353,0.489,-0.150,-0.637,-0.401,-0.186,0.497,-0.422,-0.321,1.042,4.016,,,,,,,,,,,,,,,,,,,,,,,,,
I1,4,0.992,-0.633,-0.645,-0.002,0.619,-0.036,-0.305,-0.073,0.527,1.042,3.485,,,,,,,,,,,,,,,,,,,,,,,,,
I1,5,-0.817,-1.385,-0.539,-1.052,-0.605,-1.518,1.413,-1.350,0.681,1.042,2.684,,,,,,,,,,,,,,,,,,,,,,,,,
I2,1,1.322,-1.015,-1.571,-0.639,1.046,-0.927,1.295,-0.909,-0.939,1.238,2.515,,,,,,,,,,,,,,,,,,,,,,,,,
I2,2,-0.967,0.647,-0.370,1.736,0.636,-0.743,0.234,-0.906,-0.733,1.238,3.573,,,,,,,,,,,,,,,,,,,,,,,,,
I2,3,-0.996,1.394,0.473,-0.328,-1.291,1.526,-1.456,1.519,1.556,1.238,3.848,,,,,,,,,,,,,,,,,,,,,,,,,
